ID,Name,Age,Department,Python_Score,Math_Score,City
1,Arjun,20,CSE,85,72,Hyderabad
2,Priya,21,ECE,91,88,Bengaluru
3,Rahul,19,CSE,76,81,Chennai
4,Sneha,22,IT,89,94,Hyderabad
5,Kiran,20,ME,68,75,Pune
6,Ananya,21,CSE,95,91,Delhi
7,Vikram,22,ECE,73,69,Mumbai
8,Meera,20,IT,88,86,Chennai
9,Rohit,19,CSE,64,78,Pune
10,Divya,21,AIML,93,96,Bengaluru
11,Sanjay,22,ME,71,67,Hyderabad
12,Pooja,20,AIML,87,90,Delhi
13,Aman,21,IT,79,83,Mumbai
14,Keerthi,19,ECE,92,89,Chennai
15,Naveen,22,CSE,81,74,Hyderabad
Yadagiri 
999,Yadagiri,20,CSE,99,90,Hyd 
999,Yadagiri,20,CSE,99,90,Hyd 
